trial_index,dataset,subject,session,run,trial_in_run,event_name,label
0,BNCI2014_001,1,0train,0,0,right_hand,1
1,BNCI2014_001,1,0train,0,1,left_hand,0
2,BNCI2014_001,1,0train,0,2,left_hand,0
3,BNCI2014_001,1,0train,0,3,right_hand,1
4,BNCI2014_001,1,0train,0,4,right_hand,1
5,BNCI2014_001,1,0train,0,5,left_hand,0
6,BNCI2014_001,1,0train,0,6,left_hand,0
7,BNCI2014_001,1,0train,0,7,left_hand,0
8,BNCI2014_001,1,0train,0,8,right_hand,1
9,BNCI2014_001,1,0train,0,9,right_hand,1
10,BNCI2014_001,1,0train,0,10,left_hand,0
11,BNCI2014_001,1,0train,0,11,left_hand,0
12,BNCI2014_001,1,0train,0,12,left_hand,0
13,BNCI2014_001,1,0train,0,13,right_hand,1
14,BNCI2014_001,1,0train,0,14,left_hand,0
15,BNCI2014_001,1,0train,0,15,right_hand,1
16,BNCI2014_001,1,0train,0,16,right_hand,1
17,BNCI2014_001,1,0train,0,17,left_hand,0
18,BNCI2014_001,1,0train,0,18,right_hand,1
19,BNCI2014_001,1,0train,0,19,left_hand,0
20,BNCI2014_001,1,0train,0,20,right_hand,1
21,BNCI2014_001,1,0train,0,21,right_hand,1
22,BNCI2014_001,1,0train,0,22,right_hand,1
23,BNCI2014_001,1,0train,0,23,left_hand,0
24,BNCI2014_001,1,0train,1,0,left_hand,0
25,BNCI2014_001,1,0train,1,1,left_hand,0
26,BNCI2014_001,1,0train,1,2,right_hand,1
27,BNCI2014_001,1,0train,1,3,left_hand,0
28,BNCI2014_001,1,0train,1,4,left_hand,0
29,BNCI2014_001,1,0train,1,5,right_hand,1
30,BNCI2014_001,1,0train,1,6,left_hand,0
31,BNCI2014_001,1,0train,1,7,left_hand,0
32,BNCI2014_001,1,0train,1,8,right_hand,1
33,BNCI2014_001,1,0train,1,9,left_hand,0
34,BNCI2014_001,1,0train,1,10,right_hand,1
35,BNCI2014_001,1,0train,1,11,right_hand,1
36,BNCI2014_001,1,0train,1,12,left_hand,0
37,BNCI2014_001,1,0train,1,13,right_hand,1
38,BNCI2014_001,1,0train,1,14,left_hand,0
39,BNCI2014_001,1,0train,1,15,left_hand,0
40,BNCI2014_001,1,0train,1,16,right_hand,1
41,BNCI2014_001,1,0train,1,17,left_hand,0
42,BNCI2014_001,1,0train,1,18,right_hand,1
43,BNCI2014_001,1,0train,1,19,right_hand,1
44,BNCI2014_001,1,0train,1,20,right_hand,1
45,BNCI2014_001,1,0train,1,21,right_hand,1
46,BNCI2014_001,1,0train,1,22,right_hand,1
47,BNCI2014_001,1,0train,1,23,left_hand,0
48,BNCI2014_001,1,0train,2,0,right_hand,1
49,BNCI2014_001,1,0train,2,1,left_hand,0
50,BNCI2014_001,1,0train,2,2,left_hand,0
51,BNCI2014_001,1,0train,2,3,left_hand,0
52,BNCI2014_001,1,0train,2,4,right_hand,1
53,BNCI2014_001,1,0train,2,5,right_hand,1
54,BNCI2014_001,1,0train,2,6,left_hand,0
55,BNCI2014_001,1,0train,2,7,right_hand,1
56,BNCI2014_001,1,0train,2,8,left_hand,0
57,BNCI2014_001,1,0train,2,9,right_hand,1
58,BNCI2014_001,1,0train,2,10,left_hand,0
59,BNCI2014_001,1,0train,2,11,right_hand,1
60,BNCI2014_001,1,0train,2,12,right_hand,1
61,BNCI2014_001,1,0train,2,13,right_hand,1
62,BNCI2014_001,1,0train,2,14,left_hand,0
63,BNCI2014_001,1,0train,2,15,left_hand,0
64,BNCI2014_001,1,0train,2,16,right_hand,1
65,BNCI2014_001,1,0train,2,17,left_hand,0
66,BNCI2014_001,1,0train,2,18,right_hand,1
67,BNCI2014_001,1,0train,2,19,right_hand,1
68,BNCI2014_001,1,0train,2,20,left_hand,0
69,BNCI2014_001,1,0train,2,21,left_hand,0
70,BNCI2014_001,1,0train,2,22,right_hand,1
71,BNCI2014_001,1,0train,2,23,left_hand,0
72,BNCI2014_001,1,0train,3,0,right_hand,1
73,BNCI2014_001,1,0train,3,1,left_hand,0
74,BNCI2014_001,1,0train,3,2,left_hand,0
75,BNCI2014_001,1,0train,3,3,right_hand,1
76,BNCI2014_001,1,0train,3,4,left_hand,0
77,BNCI2014_001,1,0train,3,5,left_hand,0
78,BNCI2014_001,1,0train,3,6,left_hand,0
79,BNCI2014_001,1,0train,3,7,right_hand,1
80,BNCI2014_001,1,0train,3,8,right_hand,1
81,BNCI2014_001,1,0train,3,9,right_hand,1
82,BNCI2014_001,1,0train,3,10,right_hand,1
83,BNCI2014_001,1,0train,3,11,left_hand,0
84,BNCI2014_001,1,0train,3,12,right_hand,1
85,BNCI2014_001,1,0train,3,13,right_hand,1
86,BNCI2014_001,1,0train,3,14,right_hand,1
87,BNCI2014_001,1,0train,3,15,left_hand,0
88,BNCI2014_001,1,0train,3,16,left_hand,0
89,BNCI2014_001,1,0train,3,17,left_hand,0
90,BNCI2014_001,1,0train,3,18,left_hand,0
91,BNCI2014_001,1,0train,3,19,left_hand,0
92,BNCI2014_001,1,0train,3,20,right_hand,1
93,BNCI2014_001,1,0train,3,21,left_hand,0
94,BNCI2014_001,1,0train,3,22,right_hand,1
95,BNCI2014_001,1,0train,3,23,right_hand,1
96,BNCI2014_001,1,0train,4,0,left_hand,0
97,BNCI2014_001,1,0train,4,1,right_hand,1
98,BNCI2014_001,1,0train,4,2,left_hand,0
99,BNCI2014_001,1,0train,4,3,left_hand,0
100,BNCI2014_001,1,0train,4,4,right_hand,1
101,BNCI2014_001,1,0train,4,5,right_hand,1
102,BNCI2014_001,1,0train,4,6,right_hand,1
103,BNCI2014_001,1,0train,4,7,left_hand,0
104,BNCI2014_001,1,0train,4,8,right_hand,1
105,BNCI2014_001,1,0train,4,9,right_hand,1
106,BNCI2014_001,1,0train,4,10,right_hand,1
107,BNCI2014_001,1,0train,4,11,right_hand,1
108,BNCI2014_001,1,0train,4,12,right_hand,1
109,BNCI2014_001,1,0train,4,13,left_hand,0
110,BNCI2014_001,1,0train,4,14,right_hand,1
111,BNCI2014_001,1,0train,4,15,right_hand,1
112,BNCI2014_001,1,0train,4,16,left_hand,0
113,BNCI2014_001,1,0train,4,17,left_hand,0
114,BNCI2014_001,1,0train,4,18,left_hand,0
115,BNCI2014_001,1,0train,4,19,left_hand,0
116,BNCI2014_001,1,0train,4,20,left_hand,0
117,BNCI2014_001,1,0train,4,21,left_hand,0
118,BNCI2014_001,1,0train,4,22,right_hand,1
119,BNCI2014_001,1,0train,4,23,left_hand,0
120,BNCI2014_001,1,0train,5,0,left_hand,0
121,BNCI2014_001,1,0train,5,1,right_hand,1
122,BNCI2014_001,1,0train,5,2,right_hand,1
123,BNCI2014_001,1,0train,5,3,left_hand,0
124,BNCI2014_001,1,0train,5,4,right_hand,1
125,BNCI2014_001,1,0train,5,5,right_hand,1
126,BNCI2014_001,1,0train,5,6,right_hand,1
127,BNCI2014_001,1,0train,5,7,right_hand,1
128,BNCI2014_001,1,0train,5,8,right_hand,1
129,BNCI2014_001,1,0train,5,9,left_hand,0
130,BNCI2014_001,1,0train,5,10,left_hand,0
131,BNCI2014_001,1,0train,5,11,left_hand,0
132,BNCI2014_001,1,0train,5,12,left_hand,0
133,BNCI2014_001,1,0train,5,13,right_hand,1
134,BNCI2014_001,1,0train,5,14,right_hand,1
135,BNCI2014_001,1,0train,5,15,left_hand,0
136,BNCI2014_001,1,0train,5,16,left_hand,0
137,BNCI2014_001,1,0train,5,17,left_hand,0
138,BNCI2014_001,1,0train,5,18,right_hand,1
139,BNCI2014_001,1,0train,5,19,right_hand,1
140,BNCI2014_001,1,0train,5,20,left_hand,0
141,BNCI2014_001,1,0train,5,21,left_hand,0
142,BNCI2014_001,1,0train,5,22,right_hand,1
143,BNCI2014_001,1,0train,5,23,left_hand,0
144,BNCI2014_001,1,1test,0,0,left_hand,0
145,BNCI2014_001,1,1test,0,1,right_hand,1
146,BNCI2014_001,1,1test,0,2,right_hand,1
147,BNCI2014_001,1,1test,0,3,left_hand,0
148,BNCI2014_001,1,1test,0,4,right_hand,1
149,BNCI2014_001,1,1test,0,5,left_hand,0
150,BNCI2014_001,1,1test,0,6,right_hand,1
151,BNCI2014_001,1,1test,0,7,right_hand,1
152,BNCI2014_001,1,1test,0,8,left_hand,0
153,BNCI2014_001,1,1test,0,9,right_hand,1
154,BNCI2014_001,1,1test,0,10,left_hand,0
155,BNCI2014_001,1,1test,0,11,left_hand,0
156,BNCI2014_001,1,1test,0,12,right_hand,1
157,BNCI2014_001,1,1test,0,13,left_hand,0
158,BNCI2014_001,1,1test,0,14,left_hand,0
159,BNCI2014_001,1,1test,0,15,left_hand,0
160,BNCI2014_001,1,1test,0,16,left_hand,0
161,BNCI2014_001,1,1test,0,17,right_hand,1
162,BNCI2014_001,1,1test,0,18,left_hand,0
163,BNCI2014_001,1,1test,0,19,right_hand,1
164,BNCI2014_001,1,1test,0,20,right_hand,1
165,BNCI2014_001,1,1test,0,21,left_hand,0
166,BNCI2014_001,1,1test,0,22,right_hand,1
167,BNCI2014_001,1,1test,0,23,right_hand,1
168,BNCI2014_001,1,1test,1,0,right_hand,1
