trial_index,dataset,subject,session,run,trial_in_run,event_name,label
0,PhysioNetMI,1,0,0,0,right_hand,1
1,PhysioNetMI,1,0,0,1,left_hand,0
2,PhysioNetMI,1,0,0,2,left_hand,0
3,PhysioNetMI,1,0,0,3,right_hand,1
4,PhysioNetMI,1,0,0,4,right_hand,1
5,PhysioNetMI,1,0,0,5,left_hand,0
6,PhysioNetMI,1,0,0,6,right_hand,1
7,PhysioNetMI,1,0,0,7,left_hand,0
8,PhysioNetMI,1,0,0,8,right_hand,1
9,PhysioNetMI,1,0,0,9,left_hand,0
10,PhysioNetMI,1,0,0,10,left_hand,0
11,PhysioNetMI,1,0,0,11,right_hand,1
12,PhysioNetMI,1,0,0,12,left_hand,0
13,PhysioNetMI,1,0,0,13,right_hand,1
14,PhysioNetMI,1,0,0,14,left_hand,0
15,PhysioNetMI,1,0,1,0,left_hand,0
16,PhysioNetMI,1,0,1,1,right_hand,1
17,PhysioNetMI,1,0,1,2,left_hand,0
18,PhysioNetMI,1,0,1,3,right_hand,1
19,PhysioNetMI,1,0,1,4,left_hand,0
20,PhysioNetMI,1,0,1,5,right_hand,1
21,PhysioNetMI,1,0,1,6,left_hand,0
22,PhysioNetMI,1,0,1,7,right_hand,1
23,PhysioNetMI,1,0,1,8,right_hand,1
24,PhysioNetMI,1,0,1,9,left_hand,0
25,PhysioNetMI,1,0,1,10,left_hand,0
26,PhysioNetMI,1,0,1,11,right_hand,1
27,PhysioNetMI,1,0,1,12,right_hand,1
28,PhysioNetMI,1,0,1,13,left_hand,0
29,PhysioNetMI,1,0,1,14,left_hand,0
30,PhysioNetMI,1,0,2,0,right_hand,1
31,PhysioNetMI,1,0,2,1,left_hand,0
32,PhysioNetMI,1,0,2,2,right_hand,1
33,PhysioNetMI,1,0,2,3,left_hand,0
34,PhysioNetMI,1,0,2,4,left_hand,0
35,PhysioNetMI,1,0,2,5,right_hand,1
36,PhysioNetMI,1,0,2,6,right_hand,1
37,PhysioNetMI,1,0,2,7,left_hand,0
38,PhysioNetMI,1,0,2,8,left_hand,0
39,PhysioNetMI,1,0,2,9,right_hand,1
40,PhysioNetMI,1,0,2,10,right_hand,1
41,PhysioNetMI,1,0,2,11,left_hand,0
42,PhysioNetMI,1,0,2,12,right_hand,1
43,PhysioNetMI,1,0,2,13,left_hand,0
44,PhysioNetMI,1,0,2,14,right_hand,1
45,PhysioNetMI,2,0,0,0,left_hand,0
46,PhysioNetMI,2,0,0,1,right_hand,1
47,PhysioNetMI,2,0,0,2,left_hand,0
48,PhysioNetMI,2,0,0,3,right_hand,1
49,PhysioNetMI,2,0,0,4,left_hand,0
50,PhysioNetMI,2,0,0,5,right_hand,1
51,PhysioNetMI,2,0,0,6,right_hand,1
52,PhysioNetMI,2,0,0,7,left_hand,0
53,PhysioNetMI,2,0,0,8,right_hand,1
54,PhysioNetMI,2,0,0,9,left_hand,0
55,PhysioNetMI,2,0,0,10,right_hand,1
56,PhysioNetMI,2,0,0,11,left_hand,0
57,PhysioNetMI,2,0,0,12,right_hand,1
58,PhysioNetMI,2,0,0,13,left_hand,0
59,PhysioNetMI,2,0,0,14,right_hand,1
60,PhysioNetMI,2,0,1,0,left_hand,0
61,PhysioNetMI,2,0,1,1,right_hand,1
62,PhysioNetMI,2,0,1,2,right_hand,1
63,PhysioNetMI,2,0,1,3,left_hand,0
64,PhysioNetMI,2,0,1,4,right_hand,1
65,PhysioNetMI,2,0,1,5,left_hand,0
66,PhysioNetMI,2,0,1,6,right_hand,1
67,PhysioNetMI,2,0,1,7,left_hand,0
68,PhysioNetMI,2,0,1,8,right_hand,1
69,PhysioNetMI,2,0,1,9,left_hand,0
70,PhysioNetMI,2,0,1,10,right_hand,1
71,PhysioNetMI,2,0,1,11,left_hand,0
72,PhysioNetMI,2,0,1,12,left_hand,0
73,PhysioNetMI,2,0,1,13,right_hand,1
74,PhysioNetMI,2,0,1,14,left_hand,0
75,PhysioNetMI,2,0,2,0,left_hand,0
76,PhysioNetMI,2,0,2,1,right_hand,1
77,PhysioNetMI,2,0,2,2,right_hand,1
78,PhysioNetMI,2,0,2,3,left_hand,0
79,PhysioNetMI,2,0,2,4,right_hand,1
80,PhysioNetMI,2,0,2,5,left_hand,0
81,PhysioNetMI,2,0,2,6,left_hand,0
82,PhysioNetMI,2,0,2,7,right_hand,1
83,PhysioNetMI,2,0,2,8,right_hand,1
84,PhysioNetMI,2,0,2,9,left_hand,0
85,PhysioNetMI,2,0,2,10,right_hand,1
86,PhysioNetMI,2,0,2,11,left_hand,0
87,PhysioNetMI,2,0,2,12,left_hand,0
88,PhysioNetMI,2,0,2,13,right_hand,1
89,PhysioNetMI,2,0,2,14,left_hand,0
90,PhysioNetMI,3,0,0,0,right_hand,1
91,PhysioNetMI,3,0,0,1,left_hand,0
92,PhysioNetMI,3,0,0,2,right_hand,1
93,PhysioNetMI,3,0,0,3,left_hand,0
94,PhysioNetMI,3,0,0,4,right_hand,1
